#separator:tab
#html:true
"<img alt=""Barevná studie. Čtverce se soustřednými kruhy, 1913."" src=""Wassily_Kandinsky_-_Color_Study_Squares_with_Concentric_Circles_1913_-_(MeisterDrucke-1185849).jpg"">"	Soustředné Kruhy
"<img alt=""Složitá předtucha. Torzo ve žluté košili (Complicated Premonition. Torso in  a Yellow Shirt). Obraz Kazimira Severinoviče Maleviče (Malevich, Malevic)  (1878-1935), olej na plátně"" src=""Kazimir_Severinovich_Malevich_-_Premonition_compliquee_Torse_dans_une_chemise_jaune_(Complicated_Premonition_Tor_-_.jpg"">"	Kazimir Malevič - Složitá předtucha
"<img alt=""Červený strom"" src=""Piet Mondrian - Red Tree  - (MeisterDrucke-32633).jpg""><img alt=""Šedý strom, 1911"" src=""Piet Mondrian - The Gray Tree 1911  - (MeisterDrucke-557467).jpg"">"	Piet Mondrian - Stromy
"<img alt=""Piet Mondrian: Kompozice v červené, žluté, modré a černé | Abstraktní |  Kubismus | Obrazy, reprodukce obrazů, fotografie"" src=""8136.webp"">"	Piet Mondrian - Kompozice
"<img alt=""Abstraktní Piet Mondrian Styl Obrazu Vyrobené Softwaru Stock ilustrace  ©fermagafe #4972604"" src=""depositphotos_4972604-stock-illustration-abstract-piet-mondrian-style-image.jpg"">"	Piet Mondrian - Kompozice s červenou a modrou abstrakce 3D
"<img alt=""František Kupka - Vlastní podobizna | Národní galerie Praha - sbírky"" src=""CZE_NG.O_3809.jpeg"">"	František Kupka -&nbsp; Autoportrét
"<img alt=""Knihomol - František Kupka (1871 – 1957) | 1. Art Consulting"" src=""201.jpg"">"	František Kupka -&nbsp; Knihomol
"<img alt=""České Umění on X: &quot;František Kupka - Autoportrét s manželkou - 1908  https://t.co/ErUfhOO0cg&quot; / X"" src=""DioG418X0AE9neG.jpglarge"">"	František Kupka -&nbsp; Autoportrét se ženou
"<img alt=""František Kupka - Amorfa. Dvoubarevná fuga | Národní galerie Praha - sbírky"" src=""CZE_NG.O_5942.jpeg"">"	František Kupka -&nbsp; Amorfa
"<img alt=""František Kupka: Amorfa. Teplá chromatika - Aktuálně.cz"" src=""18d7e045d5bc3f038fc74d8f3c192485_resize=768,772_.jpg"">"	františek kupka Teplá chromatika
"<img alt=""Vladimír Boudník, Aktivní grafika (Horizontály a vertikály, Stopy materiálu),  1959-1966 -"" src=""aHR0cHM6Ly9zMy5ldS1jZW50cmFsLTEuYW1hem9uYXdzLmNvbS91cGxvYWRzLm1hbmdvd2ViLm9yZy9hcnRtYXAvcHJvZC91cGxvYWRzLzIwMTkvMDQ.jpg""><img alt=""Vladimír Boudník – Stopy materiálů (Stopy nástrojů) | Web umenia"" src=""600.jpg"">"	Vladimír boudník - Stopy materiálu
"<img alt=""Kdo je (byl) Vladimír Boudník? - Babylon"" src=""3-Boudník.strukt.-grafika.jpg"">"	Vladimír boudník - Babylon
"<img alt=""Jan Vyleťal / Geometrická kompozice - detail aukce « Aukce « Aukční Galerie  Platýz"" src=""1753-jan-vyletal-geometricka-kompozice-1753-58.jpg"">"	Jan Vyleťal geometrická kompozice
"<img alt=""Jan Vyleťal (1940 - 2013) - NEJVYŠŠÍ INTELIGENCE VE VESMÍRU - Lot 170 |  VEČERNÍ AUKCE 2020 | Výstavy a aukce | Arthouse Hejtmánek"" src=""0015019_1600x0_0.jpg"">"	Jan Vyleťal Najvyšší inteligence ve vesmíru
"<img alt=""Sýkorovy letenské dlaždičky jsou výřezem z nekonečna - iDNES.cz"" src=""EFL2968a7_foto_letna_02.jpg"">"	Zdeněk Sýkora - Mozaik obklady větracích komínů
"<img alt=""Top 10 Sýkora | Artplus.cz"" src=""Sykora04-Linie100.jpg"">"	Zdeněk Sýkora - linie č100
"<img alt=""Velký bílý kabát"" src=""71f6c0543f72dbcb0ba83965fc1dd4f25b2368e24cedf.jpg"">"	věra janoušková bílí kabát
"<img alt=""Vernisáž Věra Janoušková &amp; Vladimír Janoušek: Kristus a kyvadlo - Martin  Fryč"" src=""images.jpg"">"	věra janoušková Kristus a kyvadlo
"<img alt=""Věra Janoušková, Figura, polovina sedmdesátých let 20. století • Museum  Kampa"" src=""Janoušková-e1567001671746.jpg"">"	věra janoušková figura
